purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:nuget/moq,moq,nuget,dormant,broad,0,0,accept,,Moq is dormant but stable and the de facto standard for .NET mocking; pin the version and monitor advisories rather than attempt wholesale replacement.,llm,0.78,632,autofixture.automoq,33612,1637,0,0,https://github.com/moq/moq,pkg:nuget/moq,moq,nuget,dormant,broad,0,0,accept,,Moq is dormant but stable and the de facto standard for .NET mocking; pin the version and monitor advisories rather than attempt wholesale replacement.,llm,0.78,632,autofixture.automoq,33612,1637,0,0,https://github.com/moq/moq
pkg:nuget/microsoft.csharp,microsoft.csharp,nuget,dead,broad,1,0,accept,,Consolidated into dotnet/runtime by Microsoft; remains stable and widely used as a transitive dependency. Safe to keep pinned.,llm,0.85,15,microsoft.netcore.app,7,0,0,0,https://github.com/dotnet/corefx,pkg:nuget/microsoft.csharp,microsoft.csharp,nuget,dead,broad,1,0,accept,,Consolidated into dotnet/runtime by Microsoft; remains stable and widely used as a transitive dependency. Safe to keep pinned.,llm,0.85,15,microsoft.netcore.app,7,0,0,0,https://github.com/dotnet/corefx
pkg:nuget/system.reflection.typeextensions,system.reflection.typeextensions,nuget,dead,few-large,1,0,accept,,"Consolidated by Microsoft into dotnet/runtime; package is stable. Most consumption flows through system.linq.expressions and other core .NET libraries, which are actively maintained.",llm,0.95,4,system.linq.expressions,7,0,0,0,https://github.com/dotnet/corefx,pkg:nuget/system.reflection.typeextensions,system.reflection.typeextensions,nuget,dead,few-large,1,0,accept,,"Consolidated by Microsoft into dotnet/runtime; package is stable. Most consumption flows through system.linq.expressions and other core .NET libraries, which are actively maintained.",llm,0.95,4,system.linq.expressions,7,0,0,0,https://github.com/dotnet/corefx
pkg:nuget/automapper.extensions.microsoft.dependencyinjection,automapper.extensions.microsoft.dependencyinjection,nuget,dead,broad,1,0,switch,pkg:nuget/automapper,This extension's functionality is now built into the main AutoMapper package. Consumers should update their dependency and adjust for API changes in the new location.,llm,0.9,0,relay.core.plugins.automapper,213,15,0,0,https://github.com/automapper/automapper.extensions.microsoft.dependencyinjection,pkg:nuget/automapper.extensions.microsoft.dependencyinjection,automapper.extensions.microsoft.dependencyinjection,nuget,dead,broad,1,0,switch,pkg:nuget/automapper,This extension's functionality is now built into the main AutoMapper package. Consumers should update their dependency and adjust for API changes in the new location.,llm,0.9,0,relay.core.plugins.automapper,213,15,0,0,https://github.com/automapper/automapper.extensions.microsoft.dependencyinjection
pkg:nuget/identitymodel,identitymodel,nuget,dead,alternative,1,0,switch,pkg:nuget/Duende.IdentityModel,"IdentityModel is officially being rebranded to Duende.IdentityModel under the same Apache 2 license, managed in the Duende FOSS repository. Update package references to the actively maintained replacement.",llm,0.95,0,xero.netstandard.oauth2client,3694,360,0,0,https://github.com/identitymodel/identitymodel,pkg:nuget/identitymodel,identitymodel,nuget,dead,alternative,1,0,switch,pkg:nuget/Duende.IdentityModel,"IdentityModel is officially being rebranded to Duende.IdentityModel under the same Apache 2 license, managed in the Duende FOSS repository. Update package references to the actively maintained replacement.",llm,0.95,0,xero.netstandard.oauth2client,3694,360,0,0,https://github.com/identitymodel/identitymodel
pkg:nuget/microsoft.dotnet.platformabstractions,microsoft.dotnet.platformabstractions,nuget,dead,few-large,1,1,vendor,,This package was archived when Microsoft consolidated its code into dotnet/runtime. Dependents should inline the platform abstraction logic (tiny surface area) or use platform detection from the maintained runtime directly.,llm,0.85,0,microsoft.aspnetcore.app,7,0,0,0,https://github.com/dotnet/core-setup,pkg:nuget/microsoft.dotnet.platformabstractions,microsoft.dotnet.platformabstractions,nuget,dead,few-large,1,1,vendor,,This package was archived when Microsoft consolidated its code into dotnet/runtime. Dependents should inline the platform abstraction logic (tiny surface area) or use platform detection from the maintained runtime directly.,llm,0.85,0,microsoft.aspnetcore.app,7,0,0,0,https://github.com/dotnet/core-setup
pkg:nuget/microsoft.netcore.app,microsoft.netcore.app,nuget,dead,broad,1,3,accept,,Microsoft consolidated .NET Core runtime development into dotnet/runtime; this package is stable and complete. Pin to a known version and upgrade to newer .NET versions for new features.,llm,0.8,0,commonservicelocator,7,0,0,0,https://github.com/dotnet/core-setup,pkg:nuget/microsoft.netcore.app,microsoft.netcore.app,nuget,dead,broad,1,3,accept,,Microsoft consolidated .NET Core runtime development into dotnet/runtime; this package is stable and complete. Pin to a known version and upgrade to newer .NET versions for new features.,llm,0.8,0,commonservicelocator,7,0,0,0,https://github.com/dotnet/core-setup
pkg:nuget/netstandard.library,netstandard.library,nuget,dead,broad,1,0,switch,,Archived by design—Microsoft moved .NET Standard development to dotnet/runtime and recommends new libraries target net6.0 and later. Retarget your project's target framework to remove this frozen dependency.,llm,0.92,0,microsoft.win32.registry,24,0,0,0,https://github.com/dotnet/standard,pkg:nuget/netstandard.library,netstandard.library,nuget,dead,broad,1,0,switch,,Archived by design—Microsoft moved .NET Standard development to dotnet/runtime and recommends new libraries target net6.0 and later. Retarget your project's target framework to remove this frozen dependency.,llm,0.92,0,microsoft.win32.registry,24,0,0,0,https://github.com/dotnet/standard
pkg:nuget/system.reflection.emit.ilgeneration,system.reflection.emit.ilgeneration,nuget,dead,few-large,1,0,accept,,"Archived and consolidated into dotnet/runtime. Stable, transitively provided by maintained Microsoft framework packages; no action needed for most dependents.",llm,0.92,0,system.reflection.emit,7,0,0,0,https://github.com/dotnet/corefx,pkg:nuget/system.reflection.emit.ilgeneration,system.reflection.emit.ilgeneration,nuget,dead,few-large,1,0,accept,,"Archived and consolidated into dotnet/runtime. Stable, transitively provided by maintained Microsoft framework packages; no action needed for most dependents.",llm,0.92,0,system.reflection.emit,7,0,0,0,https://github.com/dotnet/corefx
pkg:nuget/system.reflection.emit.lightweight,system.reflection.emit.lightweight,nuget,dead,broad,1,1,accept,,Archived as part of .NET runtime consolidation. Code is minimal and stable; pin the version and accept the archived dependency.,llm,0.85,0,system.linq.expressions,7,0,0,0,https://github.com/dotnet/corefx,pkg:nuget/system.reflection.emit.lightweight,system.reflection.emit.lightweight,nuget,dead,broad,1,1,accept,,Archived as part of .NET runtime consolidation. Code is minimal and stable; pin the version and accept the archived dependency.,llm,0.85,0,system.linq.expressions,7,0,0,0,https://github.com/dotnet/corefx
