purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:maven/junit/junit,junit:junit,maven,dormant,broad,0,0,switch,pkg:maven/org.junit.jupiter/junit-jupiter,"JUnit 4 is in maintenance mode with critical fixes only; its README explicitly directs users to JUnit 5 (junit-framework), the actively maintained successor by the same team. Migration requires test code updates but is the supported path forward.",llm,0.95,1583666,,10835,1396,0,0,https://github.com/junit-team/junit4,pkg:maven/junit/junit,junit:junit,maven,dormant,broad,0,0,switch,pkg:maven/org.junit.jupiter/junit-jupiter,"JUnit 4 is in maintenance mode with critical fixes only; its README explicitly directs users to JUnit 5 (junit-framework), the actively maintained successor by the same team. Migration requires test code updates but is the supported path forward.",llm,0.95,1583666,,10835,1396,0,0,https://github.com/junit-team/junit4
pkg:maven/org.slf4j/slf4j-api,org.slf4j:slf4j-api,maven,dormant,no-alternative,0,0,accept,,SLF4J-api is the foundational Java logging facade with 55k dependents. Its dormancy reflects stability and completion rather than abandonment—pin the version and carry the risk.,llm,0.95,309657,,27,0,0,0,https://github.com/qos-ch/slf4j,pkg:maven/org.slf4j/slf4j-api,org.slf4j:slf4j-api,maven,dormant,no-alternative,0,0,accept,,SLF4J-api is the foundational Java logging facade with 55k dependents. Its dormancy reflects stability and completion rather than abandonment—pin the version and carry the risk.,llm,0.95,309657,,27,0,0,0,https://github.com/qos-ch/slf4j
pkg:maven/log4j/log4j,log4j:log4j,maven,unknown,broad,0,0,switch,pkg:maven/org.apache.logging.log4j/log4j-core,Log4j v1 is unmaintained since 2015 but remains stable across hundreds of thousands of projects. Log4j 2 is the actively maintained successor from Apache and handles most use cases; it's the standard upgrade path for dependents planning long-term maintenance.,llm,0.9,236580,,,,,5,https://svn.apache.org/viewvc/logging/log4j/tags/v1_2_17_rc3,pkg:maven/log4j/log4j,log4j:log4j,maven,unknown,broad,0,0,switch,pkg:maven/org.apache.logging.log4j/log4j-core,Log4j v1 is unmaintained since 2015 but remains stable across hundreds of thousands of projects. Log4j 2 is the actively maintained successor from Apache and handles most use cases; it's the standard upgrade path for dependents planning long-term maintenance.,llm,0.9,236580,,,,,5,https://svn.apache.org/viewvc/logging/log4j/tags/v1_2_17_rc3
pkg:maven/javax.servlet/javax.servlet-api,javax.servlet:javax.servlet-api,maven,dead,alternative,1,0,switch,pkg:maven/jakarta.servlet/jakarta.servlet-api,"This package was archived as part of the Java EE to Jakarta EE transition; use jakarta.servlet-api instead, which contains the same APIs under the jakarta.servlet namespace.",llm,0.9,202572,,3449,205,0,0,https://github.com/javaee/servlet-spec,pkg:maven/javax.servlet/javax.servlet-api,javax.servlet:javax.servlet-api,maven,dead,alternative,1,0,switch,pkg:maven/jakarta.servlet/jakarta.servlet-api,"This package was archived as part of the Java EE to Jakarta EE transition; use jakarta.servlet-api instead, which contains the same APIs under the jakarta.servlet namespace.",llm,0.9,202572,,3449,205,0,0,https://github.com/javaee/servlet-spec
pkg:maven/org.slf4j/slf4j-log4j12,org.slf4j:slf4j-log4j12,maven,dormant,broad,0,0,switch,pkg:maven/org.apache.logging.log4j/log4j-core,Log4j 1.x reached EOL in 2015 and has known security vulnerabilities. Migrate to Log4j 2.x (actively maintained successor) and update the SLF4J adapter to slf4j-log4j2.,llm,0.95,182086,,27,0,0,0,https://github.com/qos-ch/slf4j,pkg:maven/org.slf4j/slf4j-log4j12,org.slf4j:slf4j-log4j12,maven,dormant,broad,0,0,switch,pkg:maven/org.apache.logging.log4j/log4j-core,Log4j 1.x reached EOL in 2015 and has known security vulnerabilities. Migrate to Log4j 2.x (actively maintained successor) and update the SLF4J adapter to slf4j-log4j2.,llm,0.95,182086,,27,0,0,0,https://github.com/qos-ch/slf4j
pkg:maven/io.springfox/springfox-swagger2,io.springfox:springfox-swagger2,maven,dead,broad,1,0,switch,pkg:maven/org.springdoc/springdoc-openapi-ui,"SpringDOC (springdoc-openapi) is the Spring ecosystem's maintained successor, recommended by the Spring team. Migration requires replacing the dependency and updating Swagger 2.0 annotations to OpenAPI 3.x patterns.",llm,0.88,109870,io.springfox:springfox-boot-starter,109489,5054,0,0,https://github.com/springfox/springfox,pkg:maven/io.springfox/springfox-swagger2,io.springfox:springfox-swagger2,maven,dead,broad,1,0,switch,pkg:maven/org.springdoc/springdoc-openapi-ui,"SpringDOC (springdoc-openapi) is the Spring ecosystem's maintained successor, recommended by the Spring team. Migration requires replacing the dependency and updating Swagger 2.0 annotations to OpenAPI 3.x patterns.",llm,0.88,109870,io.springfox:springfox-boot-starter,109489,5054,0,0,https://github.com/springfox/springfox
pkg:maven/commons-lang/commons-lang,commons-lang:commons-lang,maven,unknown,broad,0,0,accept,,Mature utility library with wide adoption; stable code doesn't require active maintenance. Dependents should pin to a known-good version and manage any disclosed advisories.,llm,0.75,103016,org.apache.velocity:velocity,,,,1,https://svn.apache.org/viewvc/commons/proper/lang/branches/lang_2_x,pkg:maven/commons-lang/commons-lang,commons-lang:commons-lang,maven,unknown,broad,0,0,accept,,Mature utility library with wide adoption; stable code doesn't require active maintenance. Dependents should pin to a known-good version and manage any disclosed advisories.,llm,0.75,103016,org.apache.velocity:velocity,,,,1,https://svn.apache.org/viewvc/commons/proper/lang/branches/lang_2_x
pkg:maven/io.springfox/springfox-swagger-ui,io.springfox:springfox-swagger-ui,maven,dead,broad,0,0,switch,pkg:maven/org.springdoc/springdoc-openapi-ui,Unmaintained for 6 years affecting 98k repos. springdoc-openapi is the active successor and drop-in replacement for swagger UI integration.,llm,0.95,98562,io.springfox:springfox-boot-starter,109489,5054,0,0,https://github.com/springfox/springfox,pkg:maven/io.springfox/springfox-swagger-ui,io.springfox:springfox-swagger-ui,maven,dead,broad,0,0,switch,pkg:maven/org.springdoc/springdoc-openapi-ui,Unmaintained for 6 years affecting 98k repos. springdoc-openapi is the active successor and drop-in replacement for swagger UI integration.,llm,0.95,98562,io.springfox:springfox-boot-starter,109489,5054,0,0,https://github.com/springfox/springfox
pkg:maven/org.slf4j/jcl-over-slf4j,org.slf4j:jcl-over-slf4j,maven,dormant,broad,0,0,accept,,"Stable bridge library in the SLF4J ecosystem. Since it only redirects Commons Logging to SLF4J, it's unlikely to need updates. Pin the version and accept the risk unless you can eliminate Commons Logging dependencies.",llm,0.75,97674,org.apache.spark:spark-core_2.10,27,0,0,0,https://github.com/qos-ch/slf4j,pkg:maven/org.slf4j/jcl-over-slf4j,org.slf4j:jcl-over-slf4j,maven,dormant,broad,0,0,accept,,"Stable bridge library in the SLF4J ecosystem. Since it only redirects Commons Logging to SLF4J, it's unlikely to need updates. Pin the version and accept the risk unless you can eliminate Commons Logging dependencies.",llm,0.75,97674,org.apache.spark:spark-core_2.10,27,0,0,0,https://github.com/qos-ch/slf4j
pkg:maven/javax.servlet.jsp/jsp-api,javax.servlet.jsp:jsp-api,maven,unknown,broad,0,0,accept,,Unmaintained but stable—the JSP specification API is frozen. Pin the version and accept the risk. Teams able to upgrade to Java 11+ should migrate to jakarta.servlet.jsp (maintained by Eclipse Foundation).,llm,0.85,82701,org.apache.tiles:tiles-jsp,,,,0,https://java.net/projects/uel/sources/svn/show/tags/jsp-api-2.2.1-b03,pkg:maven/javax.servlet.jsp/jsp-api,javax.servlet.jsp:jsp-api,maven,unknown,broad,0,0,accept,,Unmaintained but stable—the JSP specification API is frozen. Pin the version and accept the risk. Teams able to upgrade to Java 11+ should migrate to jakarta.servlet.jsp (maintained by Eclipse Foundation).,llm,0.85,82701,org.apache.tiles:tiles-jsp,,,,0,https://java.net/projects/uel/sources/svn/show/tags/jsp-api-2.2.1-b03
